gml_id	Latitude	Longitude	X_coordina	Y_coordina	LOD	Year_of_co	Refurbishm	ALKIS_code	PrimaryUsa	PrimaryU00	SecondaryU	Secondar00	BuildingTy	Footprint_	Total_wall	Total_wa00	Total_outw	Total_shar	Total_roof	Gross_volu	Is_Gross_v	Heated_vol	Ridge_mean	Eaves_mean	Storey_num	Average_St	Number_of_	Number_o00	Attic_Heat	Basement_H	Basement_c	Surface_ar	Heated_are	Mean_Uvalu	Specific_d	Specific_s	Total_Year	January_He	February_H	March_Heat	April_Heat	May_Heatin	June_Heati	July_Heati	August_Hea	September_	October_He	November_H	December_H	PV_potenti
DEBW522AA00044893	4.879.366	919.967	3514742.38	5406262.4	LOD2	1990	MediumRefurbishment	2120	industry	169.3	none	0	RH	105.8	112.1	0	223.3	203.4	105.8	542.2	FALSE	529.1	5.1	5.12	2	2.5	0	0	NO_ROOM	NOT_HEATED	0.1	0.602	169.3	0.4	32,9	11.5	7505	656	335	100	5	0	0	0	0	0	11	210	624	4.34
DEBW522AA0004451a	4.878.942	919.882	3514681.18	5405791.42	LOD2	2014	MediumRefurbishment	1010	residential	1348.8	none	0	HH	212.5	764.1	0	992.9	263.9	379.1	4427.7	FALSE	4215.1	24.4	15.76	9	2.6	25	39	HEATED	NOT_HEATED	1	0.317	1348.8	0.4	15,8	29	60461	9746	6811	4334	896	20	0	0	0	68	1793	5904	9526	14.32
DEBW522AA0004402f	4.878.871	920.987	3515493.26	5405714.75	LOD2	1963	MediumRefurbishment	1010	residential	102.3	none	0	RH	47.7	120.1	0	247.4	99.2	66	367.5	FALSE	319.8	9.6	5.88	3	2.9	1	2	HEATED	NOT_HEATED	1	0.6890000000000001	102.3	0.53	15,8	63.4	8108	1611	1111	657	125	5	0	0	0	20	339	1042	1578	2.69
DEBW522AA00043f91	4.879.333	920.857	3515396.88	5406228.4	LOD2	1988	MediumRefurbishment	2112	industry	7653.1	none	0	HH	973.9	3942	0	4390.3	386.6	973.9	23916	FALSE	23916	27.8	27.81	11	2.5	0	0	NO_ROOM	NO_ROOM	0	0.246	7653.1	0.42	32,9	2.5	270927	7910	3088	432	7	0	0	0	0	0	14	1183	6813	45.62
DEBW522AA00043f93	4.879.287	920.854	3515394.75	5406176.61	LOD2	1988	MediumRefurbishment	2112	industry	2698.9	none	0	GMH	536.9	1664.2	0	1734.2	214.8	536.9	8788.5	FALSE	8434.2	16.4	16.38	6	2.6	0	0	NO_ROOM	NOT_HEATED	0.7000000000000001	0.32	2698.9	0.37	32,9	3.3	97708	3553	1451	228	4	0	0	0	0	0	9	621	3155	24.98
DEBW522AA00043f94	4.879.345	92.082	3515369.53	5406241.56	LOD2	1980	MediumRefurbishment	2112	industry	1023.8	none	0	RH	320.1	626.3	0	626.3	388	320.1	3282.5	FALSE	3199.3	10.3	10.26	4	2.5	0	0	NO_ROOM	NOT_HEATED	0.30000000000000004	0.386	1023.8	0.43	32,9	6.4	40244	2363	1139	292	13	0	0	0	0	0	19	586	2192	15.21
DEBW522AA00043f95	4.879.385	920.787	3515344.65	5406285.67	LOD2	1980	MediumRefurbishment	2112	industry	1115.4	none	0	MFH	317	685	0	1069.8	463.8	317	3714	FALSE	3485.5	11.7	11.72	4	2.8	0	0	NO_ROOM	NOT_HEATED	0.7000000000000001	0.367	1115.4	0.37	32,9	5.1	42380	2129	1006	204	5	0	0	0	0	0	10	481	1893	15.21
DEBW522AA00043f96	4.879.401	920.785	3515343.43	5406302.97	LOD2	1980	MediumRefurbishment	2112	industry	47	none	0	RH	51	41.7	0	144.1	80.1	51	105.7	FALSE	105.7	2.1	2.06	1	2.1	0	0	NO_ROOM	NO_ROOM	0	13.599.999.999.999.900	47	0.34	32,9	19.4	2460	284	169	62	4	0	0	0	0	0	9	120	268	2.17
DEBW522AA00043f97	4.879.373	920.802	3515355.79	5406272.18	LOD2	1982	MediumRefurbishment	2112	industry	69.3	none	0	RH	43.5	97.1	0	198.4	78.8	43.5	236.9	FALSE	216.7	5.5	5.47	2	2.5	0	0	NO_ROOM	NOT_HEATED	0.5	0.8150000000000001	69.3	0.44	32,9	19	3595	439	212	67	5	0	0	0	0	0	11	156	429	1.09
DEBW522AA00043f98	4.879.353	9.207.840.000.000.000	3515343.17	5406250.55	LOD2	1980	MediumRefurbishment	2112	industry	6592.2	none	0	GMH	940.2	2480.2	0	2800.2	759.3	940.2	17967.3	FALSE	17967.3	19.7	19.66	8	2.5	0	0	NO_ROOM	NO_ROOM	0	0.243	6592.2	0.39	32,9	0.9	222487	2586	893	93	1	0	0	0	0	0	1	230	2067	45.62
DEBW522AA00043f99	487.936	920.797	3515352.36	5406257.62	LOD2	1980	MediumRefurbishment	2112	industry	224.7	none	0	RH	140.3	134	0	257.2	341.5	140.3	816.9	FALSE	702.3	5.8	5.82	2	2.5	0	0	NO_ROOM	NOT_HEATED	0.8	0.534	224.7	0.36	32,9	9.7	9576	779	363	88	3	0	0	0	0	0	9	226	724	6.52
DEBW522AA00043f9a	4.879.341	920.805	3515358.16	5406237.3	LOD2	1980	MediumRefurbishment	2112	industry	404.8	none	0	RH	112.1	158.6	0	158.6	263.9	112.1	1097	FALSE	1097	9.8	9.78	4	2.4	0	0	NO_ROOM	NO_ROOM	0	0.34900000000000003	404.8	0.39	32,9	1.6	13936	265	86	13	0	0	0	0	0	0	0	29	242	5.43
DEBW522AA00043f9b	4.879.336	920.762	3515327	5406230.86	LOD2	1980	MediumRefurbishment	2112	industry	719.8	none	0	RH	275.3	362.7	0	362.7	108.7	275.3	1696	FALSE	1696	6.5	6.46	3	2.2	0	0	NO_ROOM	NO_ROOM	0	0.539	719.8	0.38	32,9	3.2	25963	905	359	56	1	0	0	0	0	0	2	157	831	11.95
DEBW522AA00043f65	4.878.789	919.787	3514612.33	5405620.5	LOD2	1980	MediumRefurbishment	1010	residential	232.6	none	0	EFH	106.6	261.3	0	525.7	42.2	125.5	833.6	FALSE	727	9.5	5.78	3	2.8	1	1	HEATED	NOT_HEATED	1	0.64	232.6	0.43	15,8	49.4	15180	2842	1970	1197	253	11	0	0	0	34	598	1792	2799	5.52
DEBW522AA00043f66	4.878.797	919.787	3514611.59	5405630.21	LOD2	1980	MediumRefurbishment	2463	non-heated	59.7	none	0	EFH	74.4	71.6	0	216.6	41.9	74.4	191	FALSE	186.5	2.6	2.56	1	2.5	0	0	NO_ROOM	NOT_HEATED	0.1	1.163	59.7	0.30000000000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.26
